classname ,loc, rfc , wmc , cbo , dit , lcom , fanin , fanout , noc , numberOfAttributes , numberOfAttributesInherited , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs , bug ,buggy
org::eclipse::jdt::internal::core::XMLWriter ,3,2,1,2,2,0,2,0,0,0,0,1,43,0,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::internal::core::NullBuffer ,3,1,1,1,2,0,1,0,0,0,11,1,47,0,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::core::search::TypeParameterDeclarationMatch ,3,1,1,1,2,0,1,0,0,0,2,1,33,0,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionNodeFound ,3,1,1,1,1,0,1,0,0,5,0,1,23,1,0,4,1,0,0,0,0,0,0
org::eclipse::jdt::core::compiler::InvalidInputException ,3,1,1,6,1,0,6,0,0,1,0,1,22,1,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::internal::core::builder::MissingSourceFileException ,3,1,1,1,1,0,1,0,0,2,0,1,23,1,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::core::search::PackageDeclarationMatch ,3,1,1,1,2,0,1,0,0,0,2,1,33,0,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::core::util::ClassFormatException ,3,1,1,0,1,0,0,0,0,9,0,1,22,1,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::core::search::MethodDeclarationMatch ,3,1,1,2,2,0,2,0,0,0,2,1,33,0,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::internal::core::SourceAnnotationMethodInfo ,3,2,1,1,7,1,1,0,0,3,12,2,52,0,0,3,2,0,0,0,0,0,0
org::eclipse::jdt::internal::core::JarPackageFragmentInfo ,3,2,1,1,4,1,1,0,0,0,4,2,21,0,0,0,0,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::problem::AbortMethod ,3,1,1,5,4,0,5,0,0,1,6,1,27,1,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::core::search::PackageReferenceMatch ,3,1,1,1,4,0,1,0,0,0,3,1,38,0,0,0,1,0,0,0,0,1,1
org::eclipse::jdt::core::formatter::CodeFormatter ,3,2,1,1,1,1,1,0,1,9,0,2,8,0,0,0,2,0,0,0,0,0,0
org::eclipse::jdt::internal::core::builder::AbortIncrementalBuildException ,3,1,1,2,1,0,2,0,0,2,0,1,23,1,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::core::search::TypeDeclarationMatch ,3,1,1,2,2,0,2,0,0,0,2,1,33,0,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::core::search::LocalVariableDeclarationMatch ,3,1,1,1,2,0,1,0,0,0,2,1,33,0,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::internal::eval::InstallException ,3,1,1,0,1,0,0,0,0,1,0,1,22,1,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::core::dom::BindingComparator ,3,3,1,1,1,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::problem::AbortType ,3,1,1,4,3,0,4,0,1,1,6,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::InvalidCursorLocation ,3,1,1,1,1,0,1,0,0,6,0,1,23,1,0,1,1,0,0,0,0,0,0
org::eclipse::jdt::core::search::TypeNameRequestor ,3,2,1,3,1,1,3,0,0,0,0,2,8,0,0,0,2,0,0,0,0,0,0
org::eclipse::jdt::core::ClasspathVariableInitializer ,3,2,1,1,1,1,1,0,0,0,0,2,8,0,0,0,2,0,0,0,0,0,0
