classname ,loc, rfc , wmc , cbo , dit , lcom , fanin , fanout , noc , numberOfAttributes , numberOfAttributesInherited , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs , bug ,buggy
osgi::lazystart::LazySimple ,3,2,1,1,1,0,0,1,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0
legacy::lazystart::FalseExceptionLegacy2 ,3,2,1,1,1,0,0,1,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0
legacy::lazystart::SimpleLegacy ,3,2,1,1,1,0,0,1,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::BundleLocalizationImpl ,3,3,1,2,1,1,1,1,0,0,0,2,8,0,0,0,2,0,0,0,0,0,0
legacy::lazystart::TrueExceptionLegacy2 ,3,2,1,1,1,0,0,1,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0
org::eclipse::core::launcher::Main ,3,2,1,1,1,0,0,1,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0
org::eclipse::osgi::framework::adaptor::BundleProtectionDomain ,3,1,1,0,1,0,0,0,1,0,0,1,11,0,0,0,1,0,0,0,0,0,0
osgi::lazystart::LazyExclude2 ,3,2,1,1,1,0,0,1,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0
osgi::lazystart::LazyInclude2 ,3,2,1,1,1,0,0,1,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ,4,1,1,1,2,0,1,0,0,1,0,1,12,0,0,1,1,0,0,0,0,0,0
org::eclipse::osgi::tests::services::resolver::SimplePlatformAdmin ,4,3,1,2,2,0,0,2,0,0,7,1,38,0,0,0,1,0,0,0,0,0,0
legacy::lazystart::TrueExceptionLegacy1 ,4,3,1,2,1,0,0,2,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0
osgi::lazystart::LazyExclude1 ,4,3,1,2,1,0,0,2,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0
osgi::lazystart::LazyInclude1 ,4,3,1,2,1,0,0,2,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0
org::osgi::framework::FrameworkUtil ,4,3,2,8,1,1,8,0,0,0,0,2,7,0,1,0,1,0,0,0,0,2,1
org::eclipse::osgi::framework::eventmgr::ListElement ,4,1,1,2,1,0,2,0,0,2,0,1,7,0,0,2,0,0,0,0,0,0,0
legacy::lazystart::FalseExceptionLegacy1 ,4,3,1,2,1,0,0,2,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0
circularity::test::Activator ,6,8,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
chain::test::d::Activator ,6,8,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::service::pluginconversion::PluginConversionException ,6,2,2,0,1,1,0,0,0,2,0,2,18,2,0,0,2,0,0,0,0,0,0
chain::test::c::Activator ,6,8,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
legacy::lazystart::c::Activator ,6,8,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
osgi::lazystart::c::Activator ,6,8,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::tests::appadmin::FailedApp ,6,3,2,1,1,1,0,1,0,0,0,2,7,0,0,0,2,0,0,0,0,0,0
chain::test::b::Activator ,6,8,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
legacy::lazystart::b::Activator ,6,8,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::protocol::URLStreamHandlerSetter ,6,3,2,1,1,1,1,0,0,1,0,2,8,0,0,0,2,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::Constants ,6,2,2,8,1,1,8,0,0,63,74,2,7,1,0,2,1,0,0,0,0,2,1
osgi::lazystart::b::Activator ,6,8,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
test1::Activator ,6,8,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
chain::test::a::Activator ,6,8,2,2,1,1,0,2,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0
