classname ,loc, rfc , wmc , cbo , dit , lcom , fanin , fanout , noc , numberOfAttributes , numberOfAttributesInherited , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs , bug ,buggy
org::apache::lucene::xmlparser::builders::SpanBuilderBase ,3,2,1,1,2,0,0,1,6,0,0,1,11,0,0,0,1,0,0,0,0,0,0
org::apache::lucene::analysis::compound::hyphenation::HyphenationException ,3,1,1,1,1,0,1,0,0,0,0,1,27,0,0,0,1,0,0,0,0,0,0
org::apache::lucene::index::MergePolicy ,3,7,1,1,1,15,1,0,1,0,0,6,9,0,0,0,0,0,0,0,0,0,0
org::apache::lucene::index::FieldReaderException ,3,1,1,0,1,0,0,0,0,0,0,1,28,0,0,0,1,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::MatchAllDocsQueryBuilder ,3,3,1,2,1,1,1,1,0,0,0,2,10,0,0,0,2,0,0,0,0,0,0
org::apache::lucene::store::LockObtainFailedException ,3,1,1,3,1,0,3,0,0,0,0,1,27,0,0,0,1,0,0,0,0,0,0
org::apache::lucene::store::LockReleaseFailedException ,3,1,1,2,1,0,2,0,0,0,0,1,27,0,0,0,1,0,0,0,0,0,0
org::apache::lucene::index::InvertedDocConsumer ,3,6,1,2,1,15,2,0,1,1,0,6,9,0,0,1,0,0,0,0,0,0,0
org::apache::lucene::search::function::ValueSource ,3,6,1,4,1,10,4,0,3,0,0,5,18,0,0,0,5,0,0,0,0,0,0
org::apache::lucene::xmlparser::ParserException ,3,1,1,0,1,0,0,0,0,0,0,1,27,0,0,0,1,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::query::TooManyBasicQueries ,3,1,1,1,1,0,1,0,0,0,0,1,27,0,0,0,1,0,0,0,0,0,0
org::apache::lucene::store::AlreadyClosedException ,3,1,1,4,1,0,4,0,0,0,0,1,29,0,0,0,1,0,0,0,0,0,0
org::apache::lucene::index::StaleReaderException ,3,1,1,1,1,0,1,0,0,0,0,1,27,0,0,0,1,0,0,0,0,0,0
org::apache::lucene::index::DocFieldConsumer ,3,6,1,4,1,15,4,0,3,1,0,6,9,0,0,1,0,0,0,0,0,0,0
org::apache::lucene::index::TermsHashConsumer ,3,7,1,2,1,21,2,0,2,1,0,7,9,0,0,1,0,0,0,0,0,0,0
org::apache::lucene::document::LoadFirstFieldSelector ,3,2,1,1,2,1,1,0,0,0,0,2,19,0,0,0,2,0,0,0,0,0,0
org::apache::lucene::index::CorruptIndexException ,3,1,1,5,1,0,5,0,0,0,0,1,27,0,0,0,1,0,0,0,0,0,0
