classname ,loc, rfc , wmc , cbo , dit , lcom , fanin , fanout , noc , numberOfAttributes , numberOfAttributesInherited , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs , bug ,buggy
org::eclipse::mylyn::internal::tasks::ui::editors::TaskListChangeAdapter ,2,2,1,1,1,1,1,0,1,0,0,2,10,0,0,0,2,0,0,0,0,0,0
org::eclipse::mylyn::internal::xplanner::core::Messages ,2,1,1,0,1,0,0,0,0,6,0,1,0,1,1,5,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::client::InvalidTicketException ,2,1,1,2,2,0,2,0,0,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::core::model::Messages ,2,1,1,0,1,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::trac::core::client::TracProxyAuthenticationException ,2,1,1,1,2,0,1,0,0,1,0,1,26,1,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::jira::ui::editor::Messages ,2,1,1,0,1,0,0,0,0,7,0,1,0,1,1,6,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::ui::commands::AbstractTaskListViewHandler ,2,1,1,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::xplanner::ui::editor::Messages ,2,1,1,0,1,0,0,0,0,30,0,1,0,1,1,29,0,0,0,0,0,0,0
org::eclipse::mylyn::internal::xplanner::ui::wizard::Messages ,2,1,1,0,1,0,0,0,0,37,0,1,0,1,1,36,0,1,0,0,0,2,1
org::eclipse::mylyn::internal::xplanner::ui::Messages ,2,1,1,0,1,0,0,0,0,27,0,1,0,1,1,26,0,1,0,0,0,2,1
org::eclipse::mylyn::wikitext::core::parser::markup::token::EntityReferenceReplacementToken ,3,2,1,5,3,0,4,1,0,0,0,1,26,0,0,0,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::pde::ui::Messages ,3,2,1,0,1,0,0,0,0,3,0,1,0,1,0,2,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::tasks::core::sync::Messages ,3,2,1,0,1,0,0,0,0,22,0,1,0,1,0,21,1,0,0,0,0,0,0
org::eclipse::mylyn::internal::wikitext::confluence::core::phrase::SimplePhraseModifier ,3,1,1,1,3,0,1,0,0,0,1,1,28,0,0,0,1,0,0,0,0,0,0
