classname ,loc, rfc , wmc , cbo , dit , lcom , fanin , fanout , noc , numberOfAttributes , numberOfAttributesInherited , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs , bug ,buggy
org::eclipse::pde::internal::core::variables::TargetOSVariableResolver ,3,2,1,1,1,0,0,1,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::refactoring::ContainerMoveParticipant ,3,1,1,0,3,0,0,0,0,0,2,1,11,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::core::variables::TargetNLVariableResolver ,3,2,1,1,1,0,0,1,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::feature::PluginPortabilitySection ,3,1,1,1,4,0,1,0,0,0,0,1,36,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::ui::launcher::EquinoxPluginsTab ,3,2,1,1,3,0,0,1,0,0,1,1,17,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::preferences::TargetEnvironmentPreferenceNode ,3,2,1,0,2,1,0,0,0,0,1,2,18,0,0,0,1,0,0,0,0,1,1
org::eclipse::pde::internal::core::util::HeaderMap ,3,2,1,4,1,0,3,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::compare::ManifestContentMergeViewerCreator ,3,2,1,1,1,0,0,1,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::core::variables::TargetOSArchVariableResolver ,3,2,1,1,1,0,0,1,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::product::ProductEditorContributor ,3,1,1,0,2,0,0,0,0,0,3,1,20,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::preferences::SourceCodeLocationsPreferenceNode ,3,2,1,0,2,1,0,0,0,0,1,2,18,0,0,0,1,0,0,0,0,1,1
org::eclipse::pde::internal::ui::editor::text::XMLWhitespaceDetector ,3,2,4,2,1,1,2,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::exports::AbstractExportWizardPage ,3,3,1,1,1,3,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::ListUtil ,3,1,1,0,1,0,0,0,0,5,0,1,6,1,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::refactoring::FileMoveParticipant ,3,1,1,0,3,0,0,0,0,0,2,1,11,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::target::TargetEditorContributor ,3,1,1,0,2,0,0,0,0,0,3,1,20,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::core::variables::TargetHomeDynamicVariableResolver ,3,2,1,1,1,0,0,1,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::core::variables::TargetWSVariableResolver ,3,2,1,1,1,0,0,1,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::cheatsheet::comp::CompCSEditorContributor ,3,1,1,0,2,0,0,0,0,0,3,1,20,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::compare::PluginContentMergeViewerCreator ,3,2,1,1,1,0,0,1,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::AbstractTextChangeListener ,4,2,1,0,2,0,0,0,2,3,0,1,9,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::wizards::ResizableWizardDialog ,4,2,1,3,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::plugin::DocumentGenericNode ,5,2,1,3,3,0,2,1,1,1,10,1,120,1,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::compare::ManifestStructureMergeViewerCreator ,5,4,1,1,1,0,0,1,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::ui::launcher::JUnitTabGroup ,5,7,1,4,2,0,0,4,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::schema::SchemaOtherAttributeDetails ,5,2,2,1,5,1,1,0,0,0,2,2,55,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::compare::PluginStructureViewerCreator ,6,3,2,1,1,1,0,1,0,0,0,2,6,0,0,0,2,0,0,0,0,1,1
org::eclipse::pde::internal::ui::build::PluginExportJob ,6,3,2,2,2,1,1,1,0,0,1,2,5,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::launcher::OSGiValidationOperation ,6,3,2,3,2,1,2,1,0,0,1,2,14,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::DocumentXMLNode ,6,4,2,0,1,3,0,0,3,0,3,3,7,0,0,0,3,0,0,0,0,0,0
org::eclipse::pde::internal::core::builders::PDEMarkerFactory ,6,3,1,2,1,1,2,0,0,42,0,2,7,0,0,0,2,0,0,0,0,1,1
org::eclipse::pde::internal::ui::editor::plugin::ExtensionHyperLink ,6,4,2,2,2,1,1,1,0,0,1,2,10,0,0,0,2,0,0,0,0,0,0
org::eclipse::pde::internal::runtime::registry::PluginObjectAdapter ,6,2,2,12,1,1,12,0,1,1,0,2,0,1,0,0,2,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::text::XMLPartitionScanner ,6,6,1,3,1,0,2,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::site::SiteEditorContributor ,6,2,2,0,3,1,0,0,0,0,3,2,33,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::core::text::build::BuildModelFactory ,6,3,2,2,1,1,1,1,0,1,0,2,7,1,0,0,2,0,0,0,0,0,0
org::eclipse::pde::internal::core::TargetPDERegistryStrategy ,6,2,2,1,2,1,1,0,0,0,0,2,10,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::text::PDEMarkerAnnotationModel ,6,3,2,2,1,1,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::templates::ide::BaseEditorTemplate ,6,2,2,1,5,1,1,0,2,0,13,2,80,0,0,0,2,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::plugin::ExtensionLabelProvider ,6,5,2,1,1,3,1,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0
org::eclipse::pde::internal::ui::editor::text::BundleHyperlink ,6,3,2,1,3,1,1,0,0,0,1,2,13,0,0,0,1,0,0,0,0,0,0
org::eclipse::pde::internal::ui::tests::macro::WizardCommandTarget ,6,3,2,2,3,1,1,1,0,0,0,2,14,0,0,0,2,0,0,0,0,0,0
